UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID
23,Mount Prospect,IL,US,60056,High School,Not Applicable,2002-01-01 00:00:00,3,10.0,Yes,No,0,0.0
698,Normal,IL,US,61761,,,,4,7.0,Yes,No,0,
2305,Lake Forest,IL,US,60045,,insurance,2010-12-01 00:00:00,4,9.0,Yes,No,0,180.0
2785,Chicago,IL,US,60607,Bachelor's,International Affairs,2005-01-01 00:00:00,6,10.0,Yes,No,0,191.0
3406,Joliet,IL,US,60435,Bachelor's,English,,3,20.0,No,Yes,350,40.0
5080,Jerseyville,IL,US,62052,Associate's,Technology,1997-01-01 00:00:00,2,15.0,,No,0,128.0
9157,Gurnee,IL,US,60031,,,,0,,,No,0,
10562,Montgomery,IL,US,60538,Associate's,General Education,2008-01-01 00:00:00,2,6.0,Yes,No,0,131.0
11060,Oak Brook,IL,US,60523,Bachelor's,"Computer Engineering, General",1991-01-01 00:00:00,6,17.0,No,No,0,110.0
11400,Chicago,IL,US,60614,Bachelor's,History/Research Intelligence Analysis Program and Political Science,1999-01-01 00:00:00,10,13.0,Yes,No,0,98.0
13552,Morton Grove,IL,US,60053,Associate's,Biology,2010-07-01 00:00:00,5,3.0,,No,0,0.0
14744,Schaumburg,IL,US,60194,Bachelor's,Fine Arts,2005-01-01 00:00:00,3,7.0,No,Yes,10,111.0
14980,Midlothian,IL,US,60445,High School,Not Applicable,1998-01-01 00:00:00,4,9.0,Yes,Yes,20,0.0
16003,Hazel Crest,IL,US,60429,High School,Business Administration,2006-06-01 00:00:00,7,7.0,Yes,No,0,80.0
18111,Chicago,IL,US,60601,Master's,Marketing,1998-01-01 00:00:00,7,16.0,Yes,No,0,23.0
20703,Edwardsville,IL,US,62025,Master's,,,3,11.0,,No,0,
21727,Lacon,IL,US,61540,Bachelor's,Business,1999-01-01 00:00:00,6,15.0,No,Yes,100,21.0
24751,River Forest,IL,US,60305,Bachelor's,Criminal Justice,2004-08-01 00:00:00,6,5.0,,No,0,111.0
26741,Chicago Heights,IL,US,60411,Bachelor's,Health Administration,2012-05-01 00:00:00,4,10.0,Yes,No,0,63.0
27754,Chicago,IL,US,60659,Associate's,Science,2012-01-01 00:00:00,3,7.0,Yes,Yes,4,98.0
27813,Grayslake,IL,US,60030,,"various -- accounting, computer programming, Spanich",1990-06-01 00:00:00,3,46.0,Yes,No,0,110.0
29566,Chicago,IL,US,60620,Master's,Urban Studies,,4,23.0,No,Yes,5,117.0
31058,New Lenox,IL,US,60451,,Business Administration Program,2009-09-01 00:00:00,4,10.0,Yes,No,0,80.0
32423,Chicago,IL,US,60657,,,,1,17.0,Yes,No,0,
33994,Buffalo Grove,IL,US,60089,,interrogation,2012-04-01 00:00:00,5,20.0,,No,0,0.0
37690,Belleville,IL,US,62220,High School,,1975-09-01 00:00:00,2,17.0,No,Yes,10,
37891,Chicago,IL,US,60632,,,,3,8.0,,No,0,
38435,Plainfield,IL,US,60586,High School,Not Applicable,2007-01-01 00:00:00,2,3.0,No,Yes,10,0.0
